Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Resettlement_ISO,Country_of_Resettlement,Female_0_17,Female_18_59,Female_60_plus,Female_unknown_age,Female_Total,Male_0_17,Male_18_59,Male_60_plus,Male_unknown_age,Male_Total,Other_Unknown,Grand_Total
2018,SYR,"Syrian Arab Rep.",CAN,"Canada",1545,1090,65,0,2700,1701,1075,32,0,2808,0,5508
2018,SYR,"Syrian Arab Rep.",SWE,"Sweden",525,464,44,0,1033,638,456,24,0,1118,0,2151
2018,SYR,"Syrian Arab Rep.",LTU,"Lithuania",6,2,0,0,8,3,2,0,0,5,0,13
2018,SYR,"Syrian Arab Rep.",DEU,"Germany",1013,890,66,0,1969,1096,810,53,0,1959,0,3928
2018,SYR,"Syrian Arab Rep.",LVA,"Latvia",1,1,0,0,2,1,1,0,0,2,0,4
2018,SYR,"Syrian Arab Rep.",HRV,"Croatia",85,73,1,0,159,87,83,1,0,171,0,330
2018,SYR,"Syrian Arab Rep.",BEL,"Belgium",247,247,13,0,507,296,273,10,0,579,0,1086
2018,SYR,"Syrian Arab Rep.",NOR,"Norway",303,273,7,0,583,391,230,8,0,629,0,1212
2018,IRQ,"Iraq",NLD,"Netherlands",2,4,0,0,6,3,3,0,0,6,0,12
2018,IRQ,"Iraq",IRL,"Ireland",0,1,0,0,1,2,2,0,0,4,0,5
2018,IRQ,"Iraq",CAN,"Canada",197,298,36,0,531,198,290,30,0,518,0,1049
2018,IRQ,"Iraq",SWE,"Sweden",14,23,5,0,42,17,14,1,0,32,0,74
2018,SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",975,974,50,0,1999,1129,920,31,0,2080,0,4079
2018,SYR,"Syrian Arab Rep.",EST,"Estonia",22,17,1,0,40,30,18,0,0,48,0,88
2018,IRQ,"Iraq",AUS,"Australia",4,5,0,0,9,3,3,0,0,6,0,15
2018,SYR,"Syrian Arab Rep.",PRT,"Portugal",47,61,6,0,114,85,64,3,0,152,0,266
2018,SYR,"Syrian Arab Rep.",FIN,"Finland",176,132,3,0,311,162,151,4,0,317,0,628
2018,SYR,"Syrian Arab Rep.",BGR,"Bulgaria",24,10,1,0,35,20,11,0,0,31,0,66
2018,SYR,"Syrian Arab Rep.",NLD,"Netherlands",546,535,23,0,1104,675,572,32,0,1279,0,2383
2018,IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",121,150,12,0,283,153,116,11,0,280,0,563
